timestamp,hora,dia,consumo_predicho,fecha
2025-10-31 01:00:00,1,Friday,2.9149747,2025-10-31
2025-10-31 02:00:00,2,Friday,3.080029,2025-10-31
2025-10-31 03:00:00,3,Friday,3.080029,2025-10-31
2025-10-31 04:00:00,4,Friday,3.0798616,2025-10-31
2025-10-31 05:00:00,5,Friday,3.1096907,2025-10-31
2025-10-31 06:00:00,6,Friday,3.1116812,2025-10-31
2025-10-31 07:00:00,7,Friday,3.4013536,2025-10-31
2025-10-31 08:00:00,8,Friday,3.2103097,2025-10-31
2025-10-31 09:00:00,9,Friday,3.1897135,2025-10-31
2025-10-31 10:00:00,10,Friday,3.1897135,2025-10-31
2025-10-31 11:00:00,11,Friday,3.1709008,2025-10-31
2025-10-31 12:00:00,12,Friday,3.1148157,2025-10-31
2025-10-31 13:00:00,13,Friday,3.107706,2025-10-31
2025-10-31 14:00:00,14,Friday,3.1791353,2025-10-31
2025-10-31 15:00:00,15,Friday,3.1879911,2025-10-31
2025-10-31 16:00:00,16,Friday,3.1879911,2025-10-31
2025-10-31 17:00:00,17,Friday,3.2020247,2025-10-31
2025-10-31 18:00:00,18,Friday,3.2020247,2025-10-31
2025-10-31 19:00:00,19,Friday,3.2000341,2025-10-31
2025-10-31 20:00:00,20,Friday,3.1484766,2025-10-31
2025-10-31 21:00:00,21,Friday,2.982077,2025-10-31
2025-10-31 22:00:00,22,Friday,2.9800453,2025-10-31
2025-10-31 23:00:00,23,Friday,2.9757445,2025-10-31
2025-11-01 00:00:00,0,Saturday,3.1014488,2025-11-01
2025-11-01 01:00:00,1,Saturday,3.329873,2025-11-01
2025-11-01 02:00:00,2,Saturday,3.3620079,2025-11-01
2025-11-01 03:00:00,3,Saturday,3.3620079,2025-11-01
2025-11-01 04:00:00,4,Saturday,3.3642983,2025-11-01
2025-11-01 05:00:00,5,Saturday,3.349245,2025-11-01
2025-11-01 06:00:00,6,Saturday,3.3512356,2025-11-01
2025-11-01 07:00:00,7,Saturday,3.6277714,2025-11-01
2025-11-01 08:00:00,8,Saturday,3.520517,2025-11-01
2025-11-01 09:00:00,9,Saturday,3.3851545,2025-11-01
2025-11-01 10:00:00,10,Saturday,3.3078494,2025-11-01
2025-11-01 11:00:00,11,Saturday,3.2890368,2025-11-01
2025-11-01 12:00:00,12,Saturday,3.2890368,2025-11-01
2025-11-01 13:00:00,13,Saturday,3.281927,2025-11-01
2025-11-01 14:00:00,14,Saturday,3.3533564,2025-11-01
2025-11-01 15:00:00,15,Saturday,3.306127,2025-11-01
2025-11-01 16:00:00,16,Saturday,3.306127,2025-11-01
2025-11-01 17:00:00,17,Saturday,3.3089795,2025-11-01
2025-11-01 18:00:00,18,Saturday,3.3089795,2025-11-01
2025-11-01 19:00:00,19,Saturday,3.306989,2025-11-01
2025-11-01 20:00:00,20,Saturday,3.264442,2025-11-01
2025-11-01 21:00:00,21,Saturday,3.3206897,2025-11-01
2025-11-01 22:00:00,22,Saturday,3.318658,2025-11-01
2025-11-01 23:00:00,23,Saturday,3.3168151,2025-11-01
2025-11-02 00:00:00,0,Sunday,3.3595958,2025-11-02
2025-11-02 01:00:00,1,Sunday,3.4205155,2025-11-02
2025-11-02 02:00:00,2,Sunday,3.4455945,2025-11-02
2025-11-02 03:00:00,3,Sunday,3.4455945,2025-11-02
2025-11-02 04:00:00,4,Sunday,3.447885,2025-11-02
2025-11-02 05:00:00,5,Sunday,3.4525113,2025-11-02
2025-11-02 06:00:00,6,Sunday,3.4545019,2025-11-02
2025-11-02 07:00:00,7,Sunday,3.6940227,2025-11-02
2025-11-02 08:00:00,8,Sunday,3.6452398,2025-11-02
2025-11-02 09:00:00,9,Sunday,3.5685594,2025-11-02
2025-11-02 10:00:00,10,Sunday,3.4566216,2025-11-02
2025-11-02 11:00:00,11,Sunday,3.3683949,2025-11-02
2025-11-02 12:00:00,12,Sunday,3.3433158,2025-11-02
2025-11-02 13:00:00,13,Sunday,3.3362062,2025-11-02
2025-11-02 14:00:00,14,Sunday,3.411864,2025-11-02
2025-11-02 15:00:00,15,Sunday,3.3897138,2025-11-02
2025-11-02 16:00:00,16,Sunday,3.3897138,2025-11-02
2025-11-02 17:00:00,17,Sunday,3.3925662,2025-11-02
2025-11-02 18:00:00,18,Sunday,3.3925662,2025-11-02
2025-11-02 19:00:00,19,Sunday,3.3905756,2025-11-02
2025-11-02 20:00:00,20,Sunday,3.3438,2025-11-02
2025-11-02 21:00:00,21,Sunday,3.3372943,2025-11-02
2025-11-02 22:00:00,22,Sunday,3.3352628,2025-11-02
2025-11-02 23:00:00,23,Sunday,3.3334198,2025-11-02
2025-11-03 00:00:00,0,Monday,3.4229276,2025-11-03
2025-11-03 01:00:00,1,Monday,3.4480066,2025-11-03
2025-11-03 02:00:00,2,Monday,3.4746532,2025-11-03
2025-11-03 03:00:00,3,Monday,3.4746532,2025-11-03
2025-11-03 04:00:00,4,Monday,3.4769437,2025-11-03
2025-11-03 05:00:00,5,Monday,3.48157,2025-11-03
2025-11-03 06:00:00,6,Monday,3.561288,2025-11-03
2025-11-03 07:00:00,7,Monday,3.5217135,2025-11-03
2025-11-03 08:00:00,8,Monday,3.5095456,2025-11-03
2025-11-03 09:00:00,9,Monday,3.4896588,2025-11-03
2025-11-03 10:00:00,10,Monday,3.472721,2025-11-03
2025-11-03 11:00:00,11,Monday,3.3750355,2025-11-03
2025-11-03 12:00:00,12,Monday,3.3499565,2025-11-03
2025-11-03 13:00:00,13,Monday,3.3428469,2025-11-03
2025-11-03 14:00:00,14,Monday,3.4142761,2025-11-03
2025-11-03 15:00:00,15,Monday,3.3921258,2025-11-03
2025-11-03 16:00:00,16,Monday,3.3921258,2025-11-03
2025-11-03 17:00:00,17,Monday,3.3949783,2025-11-03
2025-11-03 18:00:00,18,Monday,3.3949783,2025-11-03
2025-11-03 19:00:00,19,Monday,3.3929877,2025-11-03
2025-11-03 20:00:00,20,Monday,3.3504407,2025-11-03
2025-11-03 21:00:00,21,Monday,3.3397064,2025-11-03
2025-11-03 22:00:00,22,Monday,3.3376749,2025-11-03
2025-11-03 23:00:00,23,Monday,3.3358319,2025-11-03
2025-11-04 00:00:00,0,Tuesday,3.4229276,2025-11-04
2025-11-04 01:00:00,1,Tuesday,3.4746532,2025-11-04
2025-11-04 02:00:00,2,Tuesday,3.4746532,2025-11-04
2025-11-04 03:00:00,3,Tuesday,3.4746532,2025-11-04
2025-11-04 04:00:00,4,Tuesday,3.4769437,2025-11-04
2025-11-04 05:00:00,5,Tuesday,3.48157,2025-11-04
2025-11-04 06:00:00,6,Tuesday,3.5782259,2025-11-04
2025-11-04 07:00:00,7,Tuesday,3.5047758,2025-11-04
2025-11-04 08:00:00,8,Tuesday,3.4926078,2025-11-04
2025-11-04 09:00:00,9,Tuesday,3.472721,2025-11-04
2025-11-04 10:00:00,10,Tuesday,3.4204948,2025-11-04
2025-11-04 11:00:00,11,Tuesday,3.3750355,2025-11-04
2025-11-04 12:00:00,12,Tuesday,3.3499565,2025-11-04
2025-11-04 13:00:00,13,Tuesday,3.3428469,2025-11-04
2025-11-04 14:00:00,14,Tuesday,3.4142761,2025-11-04
2025-11-04 15:00:00,15,Tuesday,3.3921258,2025-11-04
2025-11-04 16:00:00,16,Tuesday,3.3921258,2025-11-04
2025-11-04 17:00:00,17,Tuesday,3.3949783,2025-11-04
2025-11-04 18:00:00,18,Tuesday,3.3949783,2025-11-04
2025-11-04 19:00:00,19,Tuesday,3.3929877,2025-11-04
2025-11-04 20:00:00,20,Tuesday,3.3504407,2025-11-04
2025-11-04 21:00:00,21,Tuesday,3.5403097,2025-11-04
2025-11-04 22:00:00,22,Tuesday,3.4534407,2025-11-04
2025-11-04 23:00:00,23,Tuesday,3.3571832,2025-11-04
2025-11-05 00:00:00,0,Wednesday,3.4229276,2025-11-05
2025-11-05 01:00:00,1,Wednesday,3.4746532,2025-11-05
2025-11-05 02:00:00,2,Wednesday,3.4746532,2025-11-05
2025-11-05 03:00:00,3,Wednesday,3.4746532,2025-11-05
2025-11-05 04:00:00,4,Wednesday,3.4769437,2025-11-05
2025-11-05 05:00:00,5,Wednesday,3.48157,2025-11-05
2025-11-05 06:00:00,6,Wednesday,3.5782259,2025-11-05
2025-11-05 07:00:00,7,Wednesday,3.5047758,2025-11-05
2025-11-05 08:00:00,8,Wednesday,3.4926078,2025-11-05
2025-11-05 09:00:00,9,Wednesday,3.472721,2025-11-05
2025-11-05 10:00:00,10,Wednesday,3.3938482,2025-11-05
2025-11-05 11:00:00,11,Wednesday,3.3750355,2025-11-05
2025-11-05 12:00:00,12,Wednesday,3.3499565,2025-11-05
2025-11-05 13:00:00,13,Wednesday,3.3428469,2025-11-05
2025-11-05 14:00:00,14,Wednesday,3.4142761,2025-11-05
2025-11-05 15:00:00,15,Wednesday,3.3921258,2025-11-05
2025-11-05 16:00:00,16,Wednesday,3.3921258,2025-11-05
2025-11-05 17:00:00,17,Wednesday,3.3949783,2025-11-05
2025-11-05 18:00:00,18,Wednesday,3.3949783,2025-11-05
2025-11-05 19:00:00,19,Wednesday,3.3929877,2025-11-05
2025-11-05 20:00:00,20,Wednesday,3.3504407,2025-11-05
2025-11-05 21:00:00,21,Wednesday,3.583894,2025-11-05
2025-11-05 22:00:00,22,Wednesday,3.4800873,2025-11-05
2025-11-05 23:00:00,23,Wednesday,3.3571832,2025-11-05
2025-11-06 00:00:00,0,Thursday,3.4229276,2025-11-06
2025-11-06 01:00:00,1,Thursday,3.4746532,2025-11-06
2025-11-06 02:00:00,2,Thursday,3.4746532,2025-11-06
2025-11-06 03:00:00,3,Thursday,3.4746532,2025-11-06
2025-11-06 04:00:00,4,Thursday,3.4769437,2025-11-06
2025-11-06 05:00:00,5,Thursday,3.48157,2025-11-06
2025-11-06 06:00:00,6,Thursday,3.5782259,2025-11-06
2025-11-06 07:00:00,7,Thursday,3.5047758,2025-11-06
2025-11-06 08:00:00,8,Thursday,3.4926078,2025-11-06
2025-11-06 09:00:00,9,Thursday,3.472721,2025-11-06
2025-11-06 10:00:00,10,Thursday,3.3938482,2025-11-06
2025-11-06 11:00:00,11,Thursday,3.3750355,2025-11-06
2025-11-06 12:00:00,12,Thursday,3.3499565,2025-11-06
2025-11-06 13:00:00,13,Thursday,3.3428469,2025-11-06
2025-11-06 14:00:00,14,Thursday,3.4142761,2025-11-06
2025-11-06 15:00:00,15,Thursday,3.3921258,2025-11-06
2025-11-06 16:00:00,16,Thursday,3.3921258,2025-11-06
2025-11-06 17:00:00,17,Thursday,3.3949783,2025-11-06
2025-11-06 18:00:00,18,Thursday,3.3949783,2025-11-06
2025-11-06 19:00:00,19,Thursday,3.3929877,2025-11-06
2025-11-06 20:00:00,20,Thursday,3.3504407,2025-11-06
2025-11-06 21:00:00,21,Thursday,3.583894,2025-11-06
2025-11-06 22:00:00,22,Thursday,3.4800873,2025-11-06
2025-11-06 23:00:00,23,Thursday,3.3571832,2025-11-06
2025-11-07 00:00:00,0,Friday,3.4229276,2025-11-07
